ID,Restaurant,Address,Time,Price,District
1521,Cơm Gà Hải Nam - Âu Cơ,"95 - 97 Âu Cơ, P.14, Quận 11, TP. HCM",,25.000 - 55.000,Quận 11
1522,Bánh Su Que - Lý Thường Kiệt,"93 Lý Thường Kiệt, P. 7, Quận 11, TP. HCM",07:00 - 17:00,10.000 - 33.000,Quận 11
1523,Bún Riêu Cua Cô 5 - Bún Nước - Hồng Bàng,"37 Đường 702 Hồng Bàng, P. 1, Quận 11, TP. HCM",07:00 - 22:00,0 - 0,Quận 11
1524,Bột Chiên 103,"103 Tuệ Tĩnh, P. 13, Quận 11, TP. HCM",,15.000 - 25.000,Quận 11
1525,Gà Ta Ánh Tuyết - Cháo Gà - Lạc Long Quân,"29 Lạc Long Quân, P. 1, Quận 11, TP. HCM",08:00 - 21:00,30.000 - 55.000,Quận 11
1526,Bánh Cuốn Bằng Chảo,"202 Tôn Thất Hiệp, P. 12, Quận 11, TP. HCM",06:00 - 21:00,15.000 - 20.000,Quận 11
1527,Bánh Bao Thọ Phát - 338 Lãnh Bình Thăng,"338 Lãnh Binh Thăng, P. 11, Quận 11, TP. HCM",06:00 - 21:30,15.000 - 33.000,Quận 11
1528,Quán Minh Ký - Hủ Tiếu Mì & Hoành Thánh,"45A Bình Thới, Quận 11, TP. HCM",07:00 - 21:00,28.000 - 28.000,Quận 11
1529,Hảo Thuận - Quán Cơm Bình Dân,"259 Tạ Uyên, P. 6, Quận 11, TP. HCM",07:00 - 21:30,15.000 - 39.000,Quận 11
1530,Cơm Tấm Phúc Lộc Thọ - Tô Ký,"12/6 Tô Ký, P. Tân Chánh Hiệp, Quận 12, TP. HCM",06:00 - 22:00,32.000 - 139.000,Quận 12
1531,"Bún Thịt Nướng Dì 7 & Cơm Tấm, Lẩu - Khu Phố 2A","1779/21/6 Khu Phố 2A, Quốc Lộ 1A, P. Tân Thới Hiệp, Quận 12, TP. HCM",08:00 - 19:00,39.000 - 45.000,Quận 12
1532,Bánh Kem Hương Phát - Nguyễn Văn Quá,"155 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM",06:30 - 22:30,12.000 - 480.000,Quận 12
1533,Ut's House - Tàu Hủ & Sữa Đậu Nành - Shop Online,"71 Dương Thị Mười, P. Tân Chánh Hiệp, Quận 12, TP. HCM",07:00 - 21:59,12.000 - 28.000,Quận 12
1534,Bánh Cuốn Kênh 1986 - Tân Thới Hiệp 20,"131/7/14 Hẻm 131, Đường Tân Thới Hiệp 20, P. Tân Thới Hiệp - Sau Lưng Nhà Trẻ Sao Mai, Quận 12, TP. HCM",06:30 - 12:00 | 15:00 - 18:30,35.000 - 155.000,Quận 12
1535,Ăn Vặt Dì Ba - Lê Văn Khương,"110 Lê Văn Khương, P. Thới An, Quận 12, TP. HCM",06:00 - 23:59,0 - 0,Quận 12
1536,Bún Riêu & Giải Khát Ba Chị Em,"94 Thạnh Xuân 21, P. Thạnh Xuân, Quận 12, TP. HCM",06:00 - 20:00,0 - 0,Quận 12
1537,Bánh Canh Cua Mỹ Lợi - Nguyễn Ảnh Thủ,"377B Nguyễn Ảnh Thủ, P. Hiệp Thành, Quận 12, TP. HCM",06:00 - 23:59,0 - 0,Quận 12
1538,Như Ý - Cơm Tấm & Đồ Ăn Vặt - TTH08,"48 Tân Thới Hiệp 08, P. Tân Thới Hiệp, Quận 12, TP. HCM",,0 - 0,Quận 12
1539,Mắm Tép Đu Đủ Dì Ba - Mắm Tép - Phan Văn Hớn,"Chung Cư Prosper Plaza, 22/14 Phan Văn Hớn, P. Tân Thới Nhất, Quận 12, TP. HCM",06:00 - 23:59,50.000 - 100.000,Quận 12
1540,Ăn Vặt Healthy - Rong Biển Kẹp Siêu Hạt & Bánh Thuyền Hạt Dinh Dưỡng - Tân Thới Nhất 01,"4/6/24 Tân thới nhất 01, P. Tân Thới Nhất, Quận 12, TP. HCM",07:00 - 22:00,0 - 0,Quận 12
1541,Phở Đông Giang 3 - Phở Khô Gia Lai & Lẩu Đuôi Bò - Tô Ngọc Vân,"380 Tô Ngọc Vân, P. Thạnh Xuân, Quận 12, TP. HCM",,50.000 - 320.000,Quận 12
1542,"Bún Bò, Bò Kho & Cơm Tấm - Quán Xưa","184A Hương Lộ 80B, P. Hiệp Thành, Quận 12, TP. HCM",06:00 - 20:00,0 - 0,Quận 12
1543,Bánh Bột Lọc Huế - Bếp Pé La,"86/24 Tân Chánh Hiệp 36, P. Tân Chánh Hiệp, Quận 12, TP. HCM",08:00 - 23:00,0 - 0,Quận 12
1544,Mì Trộn Hàn Quốc Cô Kim - Đường HT17,"162/19/1 Đường HT17, P. Hiệp Thành, Quận 12, TP. HCM",06:00 - 23:30,30.000 - 40.000,Quận 12
1545,Út Khôi - Bánh Tráng - Góc Ăn Vặt Nhà Thờ Lạc Quang Trường Chinh,"235 Đường Tân Thới Nhất 1, KP. 7, P. Tân Thới Nhất, Quận 12, TP. HCM",,0 - 0,Quận 12
1546,Mì Trộn & Cá Viên MRS LOAN - Trần Thị Năm,"334 Trần Thị Năm, P.Tân Chánh Hiệp, Quận 12, TP. HCM",00:01 - 01:59 | 08:00 - 18:45 | 21:30 - 23:59,0 - 0,Quận 12
1547,Tiến Ân - Bách Hóa - Tân Thới Hiệp 21,"73 Tân Thới Hiệp 21, P. Tân Thới Hiệp, Quận 12, TP. HCM",06:08 - 21:21,0 - 0,Quận 12
1548,Cơm Tấm & Bún Thịt Nướng Kim Tuấn,"16A Tân Thới Nhất 1, P.Tân Thới Nhất, Quận 12, TP. HCM",,20.000 - 50.000,Quận 12
1549,Gà rán và Mì Ý - Jollibee - Nguyễn Văn Quá,"B124-127 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM",09:30 - 23:00,3.000 - 100.000,Quận 12
1550,Ăn Vặt Hàn Quốc Go1998 - Bánh Gạo Cay & Gà Sốt Cay,"112/4 TL22, P. Thạnh Lộc, Quận 12, TP. HCM",10:00 - 22:00,15.000 - 40.000,Quận 12
1551,Gà Rán Popeyes - Nguyễn Văn Quá,"785 Nguyễn Văn Quá, KP. 2, P. Đông Hưng Thuận, Quận 12, TP. HCM",10:00 - 21:40,30.000 - 150.000,Quận 12
1552,Gà Rán KFC - Nguyễn Ảnh Thủ,"77 Nguyễn Ảnh Thủ, P. Hiệp Thành, Quận 12, TP. HCM",09:00 - 21:15,5.000 - 120.000,Quận 12
